noise_multiplier,communication,local_noise,avg_error_reduction,avg_noisy_error,partition_trend,algorithm
1.2,teleportation,0.015,0.34593869731800814,0.10000000000000002,increases,ghz_indep_9q
1.2,teleportation,0.02,-0.5247089947089927,0.10333333333333333,decreases,ghz_indep_9q
1.0,teleportation,0.001,-1.1684431358115552,0.11199999999999996,decreases,ghz_indep_5q
1.0,teleportation,0.005,0.3943636363636366,0.10399999999999995,decreases,ghz_indep_5q
1.0,teleportation,0.01,-2190550858753007.2,0.06399999999999997,decreases,ghz_indep_5q
1.0,teleportation,0.015,-0.0670476190476172,0.06799999999999998,decreases,ghz_indep_5q
1.0,teleportation,0.02,-1.1480000000000008,0.07199999999999998,increases,ghz_indep_5q
1.1,teleportation,0.001,-1.1746666666666663,0.03999999999999998,decreases,ghz_indep_5q
1.1,teleportation,0.005,-0.2594444444444433,0.05399999999999996,remains stable,ghz_indep_5q
1.1,teleportation,0.01,-1.9808333333333354,0.05999999999999996,decreases,ghz_indep_5q
1.1,teleportation,0.015,-2.0566666666666644,0.05799999999999996,decreases,ghz_indep_5q
1.1,teleportation,0.02,-0.2977777777777776,0.06999999999999998,decreases,ghz_indep_5q
1.2,teleportation,0.001,-38430716820229.78,0.03999999999999998,decreases,ghz_indep_5q
1.2,teleportation,0.005,-2.018,0.04999999999999996,decreases,ghz_indep_5q
1.2,teleportation,0.01,-0.013253968253969406,0.09399999999999994,increases,ghz_indep_5q
1.2,teleportation,0.015,-1.5082658517952612,0.08999999999999994,decreases,ghz_indep_5q
1.2,teleportation,0.02,-0.9499797979797998,0.08399999999999994,increases,ghz_indep_5q
1.0,teleportation,0.001,0.018123426291035135,0.7375,remains stable,ghz_indep_4q
1.0,teleportation,0.005,0.2240090448357502,0.75,decreases,ghz_indep_4q
1.0,teleportation,0.01,0.06289345729342885,0.76,decreases,ghz_indep_4q
1.0,teleportation,0.015,-0.044126293995860585,0.7475,increases,ghz_indep_4q
1.0,teleportation,0.02,0.2594006315550227,0.76,decreases,ghz_indep_4q
1.1,teleportation,0.001,-0.17225473112033787,0.6799999999999999,remains stable,ghz_indep_4q
1.1,teleportation,0.005,-0.09788774054355022,0.7150000000000001,remains stable,ghz_indep_4q
1.1,teleportation,0.01,0.003596574779626143,0.715,decreases,ghz_indep_4q
1.1,teleportation,0.015,-0.3328564412737772,0.74,increases,ghz_indep_4q
1.1,teleportation,0.02,0.22973848171831868,0.8474999999999999,decreases,ghz_indep_4q
1.2,teleportation,0.001,-0.047610781222800325,0.7075,remains stable,ghz_indep_4q
1.2,teleportation,0.005,-0.016927437212729903,0.7324999999999999,remains stable,ghz_indep_4q
1.2,teleportation,0.01,-0.004938328302814334,0.7925,remains stable,ghz_indep_4q
1.2,teleportation,0.015,0.11553698074974296,0.7525,decreases,ghz_indep_4q
1.2,teleportation,0.02,-0.2505147484094898,0.7350000000000001,increases,ghz_indep_4q
1.0,teleportation,0.001,0.027206613414596615,0.8366666666666666,remains stable,ghz_indep_8q
1.0,teleportation,0.005,-0.014089165563132422,0.84,remains stable,ghz_indep_8q
1.0,teleportation,0.01,0.024167025633538442,0.855,remains stable,ghz_indep_8q
1.0,teleportation,0.015,0.09215084036763782,0.8083333333333335,decreases,ghz_indep_8q
1.0,teleportation,0.02,-0.07650927951560596,0.8250000000000001,remains stable,ghz_indep_8q
1.1,teleportation,0.001,-0.11498541985678823,0.835,remains stable,ghz_indep_8q
1.1,teleportation,0.005,-0.025288742745188754,0.8099999999999999,remains stable,ghz_indep_8q
1.1,teleportation,0.01,0.04279462595965509,0.8649999999999999,decreases,ghz_indep_8q
