Algorithm,Local Noise,Comm Noise Mult,Strategy,CAT Error,tp Error
dj_indep_7q,0.01,1.1,no,0.18499999999999994,0.1733333333333333
dj_indep_7q,0.01,1.2,global,0.06333333333333334,0.19666666666666663
dj_indep_7q,0.01,1.2,local,0.09666666666666657,0.24999999999999997
dj_indep_7q,0.01,1.2,no,0.295,0.18499999999999997
dj_indep_7q,0.015,1.0,global,0.06999999999999994,0.1733333333333333
dj_indep_7q,0.015,1.0,local,0.06333333333333331,0.20833333333333334
dj_indep_7q,0.015,1.0,no,0.205,0.22333333333333336
dj_indep_7q,0.015,1.1,global,0.07999999999999996,0.18999999999999992
dj_indep_7q,0.015,1.1,local,0.09666666666666664,0.205
dj_indep_7q,0.015,1.1,no,0.25666666666666665,0.1583333333333333
dj_indep_7q,0.015,1.2,global,0.09999999999999998,0.225
dj_indep_7q,0.015,1.2,local,0.07999999999999995,0.26666666666666666
dj_indep_7q,0.015,1.2,no,0.17999999999999994,0.15499999999999994
dj_indep_7q,0.02,1.0,global,0.05999999999999997,0.21166666666666667
dj_indep_7q,0.02,1.0,local,0.023333333333333265,0.17499999999999993
dj_indep_7q,0.02,1.0,no,0.17666666666666667,0.19499999999999998
dj_indep_7q,0.02,1.1,global,0.043333333333333335,0.17333333333333334
dj_indep_7q,0.02,1.1,local,0.01999999999999993,0.19999999999999998
dj_indep_7q,0.02,1.1,no,0.2233333333333333,0.19999999999999998
dj_indep_7q,0.02,1.2,global,0.12333333333333325,0.17833333333333332
dj_indep_7q,0.02,1.2,local,0.17,0.18166666666666664
dj_indep_7q,0.02,1.2,no,0.18833333333333332,0.19999999999999998
dj_indep_8q,0.001,1.0,global,0.06999999999999994,0.20666666666666667
dj_indep_8q,0.001,1.0,local,0.04333333333333323,0.2316666666666666
dj_indep_8q,0.001,1.0,no,0.2383333333333333,0.2283333333333333
dj_indep_8q,0.001,1.1,global,0.10333333333333333,0.215
dj_indep_8q,0.001,1.1,local,0.12,0.21999999999999995
dj_indep_8q,0.001,1.1,no,0.20166666666666663,0.24333333333333332
dj_indep_8q,0.001,1.2,global,0.13999999999999999,0.20166666666666663
dj_indep_8q,0.001,1.2,local,0.04,0.20499999999999993
dj_indep_8q,0.001,1.2,no,0.21333333333333335,0.27166666666666667
dj_indep_8q,0.005,1.0,global,0.10333333333333332,0.22499999999999998
dj_indep_8q,0.005,1.0,local,0.036666666666666604,0.18166666666666664
dj_indep_8q,0.005,1.0,no,0.2566666666666666,0.19333333333333336
dj_indep_8q,0.005,1.1,global,0.08999999999999997,0.26999999999999996
dj_indep_8q,0.005,1.1,local,0.046666666666666634,0.20333333333333328
dj_indep_8q,0.005,1.1,no,0.19166666666666662,0.20333333333333334
dj_indep_8q,0.005,1.2,global,0.026666666666666634,0.18499999999999997
dj_indep_8q,0.005,1.2,local,0.05999999999999997,0.2233333333333333
dj_indep_8q,0.005,1.2,no,0.26833333333333326,0.23833333333333329
dj_indep_8q,0.01,1.0,global,0.07666666666666665,0.20833333333333334
dj_indep_8q,0.01,1.0,local,0.06999999999999997,0.17999999999999997
dj_indep_8q,0.01,1.0,no,0.20499999999999996,0.26166666666666666
dj_indep_8q,0.01,1.1,global,0.09333333333333331,0.21666666666666665
dj_indep_8q,0.01,1.1,local,0.07333333333333333,0.18999999999999995
dj_indep_8q,0.01,1.1,no,0.2133333333333333,0.2633333333333333
dj_indep_8q,0.01,1.2,global,0.09666666666666661,0.23333333333333325
dj_indep_8q,0.01,1.2,local,0.10333333333333328,0.22
dj_indep_8q,0.01,1.2,no,0.17166666666666663,0.20333333333333334
dj_indep_8q,0.015,1.0,global,0.08666666666666667,0.17666666666666664
dj_indep_8q,0.015,1.0,local,0.12999999999999992,0.17499999999999996
dj_indep_8q,0.015,1.0,no,0.26499999999999996,0.18833333333333327
dj_indep_8q,0.015,1.1,global,0.10666666666666669,0.18499999999999997
dj_indep_8q,0.015,1.1,local,0.05666666666666667,0.19833333333333333
