origin,strategy,communication_noise_multiplier,local_noise,communication_primitive,num_qubits,circuit_depth,partitioned_depth,num_partitions_requested,num_partitions_tested,noise_free_expectation,noisy_expectation,zne_expectation,noisy_error,zne_error,error_reduction,partition_time,shots,seed
ghz_nativegates_ibm_opt0_5q,global,1.2,0.01,cat,5,7,9,2,2,0.020000000000000018,-0.06000000000000005,0.020000000000000004,0.08000000000000007,1.3877787807814457e-17,0.9999999999999998,0.0017712116241455078,200,
ghz_nativegates_ibm_opt0_5q,global,1.2,0.01,cat,5,7,11,4,4,-0.020000000000000018,0.009999999999999981,-2.0816681711721685e-17,0.03,0.019999999999999997,0.3333333333333334,0.0019230842590332031,200,
ghz_nativegates_ibm_opt0_5q,global,1.0,0.02,cat,5,7,9,2,2,0.0,-0.09000000000000001,0.030000000000000047,0.09000000000000001,0.030000000000000047,0.6666666666666662,0.0018010139465332031,200,
ghz_nativegates_ibm_opt0_5q,global,1.0,0.02,cat,5,7,11,4,4,0.07,0.17,-0.14999999999999997,0.1,0.21999999999999997,-1.1999999999999995,0.0018000602722167969,200,
ghz_nativegates_ibm_opt0_5q,global,1.1,0.02,cat,5,7,9,2,2,-0.010000000000000009,0.15000000000000002,-0.011666666666666764,0.16000000000000003,0.0016666666666667555,0.9895833333333327,0.0017969608306884766,200,
ghz_nativegates_ibm_opt0_5q,global,1.1,0.02,cat,5,7,11,4,4,-0.040000000000000036,0.11999999999999998,0.06000000000000003,0.16000000000000003,0.10000000000000006,0.3749999999999997,0.0018749237060546875,200,
ghz_nativegates_ibm_opt0_5q,global,1.2,0.02,cat,5,7,9,2,2,0.06000000000000005,-0.009999999999999981,-0.13666666666666674,0.07000000000000003,0.1966666666666668,-1.80952380952381,0.0018219947814941406,200,
ghz_nativegates_ibm_opt0_5q,global,1.2,0.02,cat,5,7,11,4,4,-0.09000000000000002,-0.029999999999999992,-0.09000000000000002,0.06000000000000003,0.0,1.0,0.0020182132720947266,200,
ghz_nativegates_ibm_opt0_9q,global,1.0,0.001,cat,9,11,12,2,2,0.09000000000000002,-0.09000000000000002,-0.011666666666666633,0.18000000000000005,0.10166666666666666,0.4351851851851854,0.0023920536041259766,200,
ghz_nativegates_ibm_opt0_9q,global,1.0,0.001,cat,9,11,10,4,4,0.14999999999999997,-0.09999999999999999,0.06999999999999998,0.24999999999999994,0.07999999999999999,0.6799999999999999,0.0024809837341308594,200,
ghz_nativegates_ibm_opt0_9q,global,1.1,0.001,cat,9,11,12,2,2,0.09000000000000002,-0.050000000000000044,-0.15166666666666673,0.14000000000000007,0.24166666666666675,-0.7261904761904759,0.002698183059692383,200,
ghz_nativegates_ibm_opt0_9q,global,1.1,0.001,cat,9,11,10,4,4,0.0,-0.040000000000000056,6.938893903907228e-18,0.040000000000000056,6.938893903907228e-18,0.9999999999999998,0.002834796905517578,200,
ghz_nativegates_ibm_opt0_9q,global,1.2,0.001,cat,9,11,12,2,2,-0.07,-0.010000000000000009,0.14833333333333343,0.06,0.21833333333333343,-2.6388888888888906,0.002695798873901367,200,
ghz_nativegates_ibm_opt0_9q,global,1.2,0.001,cat,9,11,10,4,4,0.0,0.15,0.010000000000000009,0.15,0.010000000000000009,0.9333333333333332,0.0027740001678466797,200,
ghz_nativegates_ibm_opt0_9q,global,1.0,0.005,cat,9,11,12,2,2,-0.13999999999999996,-0.16999999999999998,0.12000000000000002,0.030000000000000027,0.26,-7.666666666666659,0.0029599666595458984,200,
ghz_nativegates_ibm_opt0_9q,global,1.0,0.005,cat,9,11,10,4,4,-0.07,0.09999999999999998,-1.3877787807814457e-17,0.16999999999999998,0.06999999999999999,0.5882352941176471,0.0028162002563476562,200,
ghz_nativegates_ibm_opt0_9q,global,1.1,0.005,cat,9,11,12,2,2,0.020000000000000018,0.07,-0.3499999999999999,0.04999999999999999,0.36999999999999994,-6.4,0.002695798873901367,200,
ghz_nativegates_ibm_opt0_9q,global,1.1,0.005,cat,9,11,10,4,4,-0.030000000000000027,-0.010000000000000026,0.22999999999999993,0.02,0.25999999999999995,-11.999999999999998,0.002788066864013672,200,
ghz_nativegates_ibm_opt0_9q,global,1.2,0.005,cat,9,11,12,2,2,-0.07,-0.04999999999999999,0.04333333333333337,0.020000000000000018,0.11333333333333337,-4.666666666666663,0.002649068832397461,200,
ghz_nativegates_ibm_opt0_9q,global,1.2,0.005,cat,9,11,10,4,4,-0.010000000000000009,-0.01000000000000005,-0.009999999999999953,4.163336342344337e-17,5.551115123125783e-17,-0.3333333333333333,0.0027437210083007812,200,
ghz_nativegates_ibm_opt0_9q,global,1.0,0.01,cat,9,11,12,2,2,-0.050000000000000044,0.06000000000000002,0.04999999999999999,0.11000000000000007,0.10000000000000003,0.09090909090909119,0.0026848316192626953,200,
ghz_nativegates_ibm_opt0_9q,global,1.0,0.01,cat,9,11,10,4,4,0.0,0.02999999999999999,0.1866666666666667,0.02999999999999999,0.1866666666666667,-5.222222222222226,0.0027480125427246094,200,
ghz_nativegates_ibm_opt0_9q,global,1.1,0.01,cat,9,11,12,2,2,0.08000000000000002,0.04999999999999999,0.009999999999999957,0.030000000000000027,0.07000000000000006,-1.3333333333333333,0.002696990966796875,200,
